ticker_symbol
ARDM
MICR
AVIR
SEAC
CPST
GBR
DTRM
WTT
ASTC
REFR
JVA
ATLC
CYAN
VSR
MOC
JCS
CODA
PAVM
FORD
LRAD
UTSI
APHB
LEU
BNSO
ZDGE
WSTL
